step,reward,cpu_temp,gpu_temp,fan_rpm
214,10.476065,86.0,70.0,6000.0
215,9.111747,87.0,70.0,5283.2046
216,9.44508,87.0,70.0,4283.2046
217,-22.062933,96.0,70.0,5120.0757
218,-22.743105,96.0,70.0,4120.0757
219,-23.449503,96.0,71.0,3479.608
220,-22.711573,96.0,71.0,3026.2954
221,-23.766092,96.0,71.0,3312.6343
222,-23.4894,96.0,71.0,3034.0496
223,-23.373981,96.0,72.0,4034.0496
224,-22.707315,96.0,72.0,5034.05
225,-21.92221,96.0,73.0,5678.7363
226,-21.112293,96.0,73.0,5180.5356
227,-19.893513,96.0,74.0,4180.5356
228,-20.130297,96.0,74.0,4717.1953
229,-20.45528,96.0,74.0,4806.228
230,-19.43541,96.0,74.0,5806.228
231,-20.241219,96.0,74.0,6000.0
232,-19.286234,96.0,74.0,6000.0
233,-19.068268,96.0,74.0,6000.0
234,-19.628666,96.0,74.0,5000.0
235,-18.987007,96.0,74.0,6000.0
236,-18.909422,96.0,74.0,5918.8926
237,-18.177341,96.0,74.0,4943.973
238,-16.29133,96.0,74.0,4821.632
239,-10.957997,95.0,74.0,3821.6318
240,14.919771,90.0,74.0,2821.6318
241,14.853441,90.0,75.0,1821.6318
242,16.351156,90.0,75.0,1663.5424
243,16.239288,89.0,74.0,663.54236
244,17.461117,89.0,74.0,496.28528
245,16.435095,89.0,73.0,0.0
246,14.436637,89.0,74.0,0.0
247,14.882435,89.0,73.0,259.90784
248,16.478605,89.0,74.0,646.46045
249,14.591037,89.0,74.0,1287.5513
250,14.032997,89.0,73.0,287.55127
251,13.952486,89.0,73.0,0.0
252,12.113159,89.0,73.0,0.0
253,12.095899,89.0,73.0,628.937
254,12.123998,89.0,74.0,1394.3751
255,12.057632,89.0,79.0,394.37512
256,12.16717,88.0,79.0,65.764404
257,12.967456,89.0,74.0,1065.7644
258,11.310206,89.0,74.0,992.36487
259,11.100624,89.0,74.0,1992.3649
260,11.179284,89.0,74.0,1756.3844
